library;ref;type;enzyme
Hum32a_proxi;Hum32;hic;Sau3AI,MluCI
Hum32a_SG;Hum32;sg;-
Hum33a_proxi;Hum33;hic;Sau3AI,MluCI
Hum33a_SG;Hum33;sg;-
Hum34a_proxi;Hum34;hic;Sau3AI,MluCI
Hum34a_SG;Hum34;sg;-
Hum35a_proxi;Hum35;hic;Sau3AI,MluCI
Hum35a_SG;Hum35;sg;-
Hum36a_proxi;Hum36;hic;Sau3AI,MluCI
Hum36a_SG;Hum36;sg;-
Hum37a_proxi;Hum37;hic;Sau3AI,MluCI
Hum37a_SG;Hum37;sg;-
Hum38a_proxi;Hum38;hic;Sau3AI,MluCI
Hum38a_SG;Hum38;sg;-
Hum39a_3C;Hum39;hic;Sau3AI,MluCI
Hum39a_SG;Hum39;sg;-
#
# Marbouty et al., Elife 2021
#
Hum40a_3C;Hum40;hic;HpaII
Hum40b_3C;Hum40;hic;MluCI
Hum41a_3C;Hum41;hic;HpaII
Hum41b_3C;Hum41;hic;MluCI
Hum42a_3C;Hum42;hic;HpaII
Hum42b_3C;Hum42;hic;MluCI
Hum43a_3C;Hum43;hic;HpaII
Hum43b_3C;Hum43;hic;MluCI
Hum44a_3C;Hum44;hic;HpaII
Hum44b_3C;Hum44;hic;MluCI
Hum45a_3C;Hum45;hic;HpaII
Hum45b_3C;Hum45;hic;MluCI
Hum46a_3C;Hum46;hic;HpaII
Hum46b_3C;Hum46;hic;MluCI
Hum47a_3C;Hum47;hic;HpaII
Hum47b_3C;Hum47;hic;MluCI
Hum47a_eHiC;Hum47;hic;HpaII
Hum47b_eHiC;Hum47;hic;MluCI
Hum48a_3C;Hum48;hic;HpaII
Hum48b_3C;Hum48;hic;MluCI
Hum48a_eHiC;Hum48;hic;HpaII
Hum48b_eHiC;Hum48;hic;MluCI
Hum49a_3C;Hum49;hic;HpaII
Hum49b_3C;Hum49;hic;MluCI
Hum49a_eHiC;Hum49;hic;HpaII
Hum49b_eHiC;Hum49;hic;MluCI
Hum49a_arima;Hum49;hic;HinfI,DpnII
# 
# RIIP Biota
#
Hum50a_arima;Hum50;hic;HinfI,DpnII
Hum50b_arima;Hum50;hic;HinfI,DpnII
Hum50a_SG;Hum50;sg;-
Hum51a_arima;Hum51;hic;HinfI,DpnII
Hum51a_SG;Hum51;sg;-
Hum52a_arima;Hum52;hic;HinfI,DpnII
Hum52a_SG;Hum52;sg;-
Hum53a_arima;Hum53;hic;HinfI,DpnII
Hum53a_SG;Hum53;sg;-
Hum54a_arima;Hum54;hic;HinfI,DpnII
Hum54a_SG;Hum54;sg;-
Hum55a_arima;Hum55;hic;HinfI,DpnII
Hum55a_SG;Hum55;sg;-
Hum56a_arima;Hum56;hic;HinfI,DpnII
Hum56a_SG;Hum56;sg;-
Hum57a_arima;Hum57;hic;HinfI,DpnII
Hum57a_SG;Hum57;sg;-
Hum66a_arima;Hum66;hic;HinfI,DpnII
Hum66b_arima;Hum66;hic;HinfI,DpnII
Hum66a_SG;Hum66;sg;-
#
# Naples
#
#naplesGeno1;Naples;hic;DpnII,HinfI;small;1
#naplesMM1;Naples;hic;DpnII,HinfI;small;2
#naplesGeno2;Naples;hic;DpnII,HinfI;medium;1
#naplesMM2;Naples;hic;DpnII,HinfI;medium;2
#naplesGeno3;Naples;hic;DpnII,HinfI;large;1
#naplesMM3;Naples;hic;DpnII,HinfI;large;2
#
# Helaine
#
#SH2;Helaine;hic;DpnII,HinfI;T-48;1
#SH3;Helaine;hic;DpnII,HinfI;T-24;1
#SH4;Helaine;hic;DpnII,HinfI;T+00;1
#SH5;Helaine;hic;DpnII,HinfI;T+12;1
#SH6;Helaine;hic;DpnII,HinfI;T+24;1
#SH7;Helaine;hic;DpnII,HinfI;T+36;1
#SH8;Helaine;hic;DpnII,HinfI;T+48;1
#SH9;Helaine;sg;-;T-48;1
#SH10;Helaine;sg;-;T-24;1
#SH11;Helaine;sg;-;T+00;1
#SH12;Helaine;sg;-;T+12;1
#SH13;Helaine;sg;-;T+24;1
#SH14;Helaine;sg;-;T+36;1
#SH15;Helaine;sg;-;T+48;1
#
# Hog4
# 
#MM33;Hog4;hic;DpnII,HinfI;-;1
#SG9;Hog4;sg;-;-;1

