library;ref;type;enzyme
Hum9c_SG;Hum9;sg;-
Hum9d_SG;Hum9;sg;-
Hum9e_SG;Hum9;sg;-
Hum10a_HiC;Hum10;hic;Sau3AI
Hum10b_HiC;Hum10;hic;Sau3AI
Hum10c_HiC;Hum10;hic;Sau3AI
Hum10d_HiC;Hum10;hic;Sau3AI
Hum10e_HiC;Hum10;hic;Sau3AI
Hum10a_SG;Hum10;sg;-
Hum10b_SG;Hum10;sg;-
Hum10c_SG;Hum10;sg;-
Hum10d_SG;Hum10;sg;-
Hum10e_SG;Hum10;sg;-
Hum11a_HiC;Hum11;hic;Sau3AI
Hum11b_HiC;Hum11;hic;Sau3AI
Hum11c_HiC;Hum11;hic;Sau3AI
Hum11d_HiC;Hum11;hic;Sau3AI
Hum11e_HiC;Hum11;hic;Sau3AI
Hum11a_SG;Hum11;sg;-
Hum11b_SG;Hum11;sg;-
Hum11c_SG;Hum11;sg;-
