Sample;Publication;originla_id;Reference;enzyme;type;number of read pairs;;
Hum34a_proxi;Gounot et al., 2022;SAMEA11358325;Hum34;Sau3AI,MluCI;proxi;;;
Hum34a_SG;Gounot et al., 2022;SAMEA11358325;Hum34;NA;shotgun;;;
Hum35a_proxi;Gounot et al., 2022;SAMEA11358332;Hum35;Sau3AI,MluCI;proxi;;;
Hum35a_SG;Gounot et al., 2022;SAMEA11358332;Hum35;NA;shotgun;;;
Hum36a_proxi;Gounot et al., 2022;SAMEA11358336;Hum36;Sau3AI,MluCI;proxi;;;
Hum36a_SG;Gounot et al., 2022;SAMEA11358336;Hum36;NA;shotgun;;;
Hum37a_proxi;Gounot et al., 2022;SAMEA11358338;Hum37;Sau3AI,MluCI;proxi;;;
Hum37a_SG;Gounot et al., 2022;SAMEA11358338;Hum37;NA;shotgun;;;
Hum38a_proxi;Gounot et al., 2022;SAMEA11358339;Hum38;Sau3AI,MluCI;proxi;;;
Hum38a_SG;Gounot et al., 2022;SAMEA11358339;Hum38;NA;shotgun;;;
Hum39a_proxi;Gounot et al., 2022;SAMEA11358349;Hum39;Sau3AI,MluCI;proxi;;;
Hum39a_SG;Gounot et al., 2022;SAMEA11358349;Hum39;NA;shotgun;;;
Hum40a_3C;Marbouty et al., Elife 2021;7020;Hum40;HpaII;3C;;;
Hum40b_3C;Marbouty et al., Elife 2021;7020;Hum40;MluCI;3C;;;
Hum41a_3C;Marbouty et al., Elife 2021;8016;Hum41;HpaII;3C;;;
Hum41b_3C;Marbouty et al., Elife 2021;8016;Hum41;MluCI;3C;;;
Hum42a_3C;Marbouty et al., Elife 2021;7016;Hum42;HpaII;3C;;;
Hum42b_3C;Marbouty et al., Elife 2021;7016;Hum42;MluCI;3C;;;
Hum43a_3C;Marbouty et al., Elife 2021;16026;Hum43;HpaII;3C;;;
Hum43b_3C;Marbouty et al., Elife 2021;16026;Hum43;MluCI;3C;;;
Hum44a_3C;Marbouty et al., Elife 2021;16021;Hum44;HpaII;3C;;;
Hum44b_3C;Marbouty et al., Elife 2021;16021;Hum44;MluCI;3C;;;
Hum45a_3C;Marbouty et al., Elife 2021;17006;Hum45;HpaII;3C;;;
Hum45b_3C;Marbouty et al., Elife 2021;17006;Hum45;MluCI;3C;;;
Hum46a_3C;Marbouty et al., Elife 2021;10015;Hum46;HpaII;3C;;;
Hum46b_3C;Marbouty et al., Elife 2021;10015;Hum46;MluCI;3C;;;
Hum47a_3C;Marbouty et al., Elife 2021;9010;Hum47;HpaII;3C;;;
Hum47b_3C;Marbouty et al., Elife 2021;9010;Hum47;MluCI;3C;;;
Hum47a_eHiC;Marbouty et al., Elife 2021;9010;Hum47;HpaII;eHiC;;;
Hum47b_eHiC;Marbouty et al., Elife 2021;9010;Hum47;MluCI;eHiC;;;
Hum48a_3C;Marbouty et al., Elife 2021;16016;Hum48;HpaII;3C;;;
Hum48b_3C;Marbouty et al., Elife 2021;16016;Hum48;MluCI;3C;;;
Hum48a_eHiC;Marbouty et al., Elife 2021;16016;Hum48;HpaII;eHiC;;;
Hum48b_eHiC;Marbouty et al., Elife 2021;16016;Hum48;MluCI;eHiC;;;
Hum49a_3C;Marbouty et al., Elife 2021;8015;Hum49;HpaII;3C;;;
Hum49b_3C;Marbouty et al., Elife 2021;8015;Hum49;MluCI;3C;;;
Hum49a_eHiC;Marbouty et al., Elife 2021;8015;Hum49;HpaII;eHiC;;;
Hum49b_eHiC;Marbouty et al., Elife 2021;8015;Hum49;MluCI;eHiC;;;
Hum49a_arima;Marbouty et al., Elife 2021;8015;Hum49;HinfI,DpnII;arima;;;
